Peak CCU,Price (USD),Review Ratio,Web Exposure,,Price (USD),Peak CCU,,,Review Ratio,Peak CCU,,,Web Exposure,Peak CCU,,,,Peak CCU
,,,,,,,,,,,,,,,,,,
2049,49.99,4.277429467084639,8.905660377,,49.99,2049,,,4.277429467,2049,,,8.905660377,2049,,,,2049
,,,,,,,,,,,,,,,,,,
108,2.03,4.554692355500311,25.455938697318008,,2.03,108,,,4.554692356,108,,,25.4559387,108,,,,108
,,,,,,,,,,,,,,,,,,
389,29.99,7.188953488372093,9.900383141762452,,29.99,389,,,7.188953488,389,,,9.900383142,389,,,,389
,,,,,,,,,,,,,,,,,,
214,29.99,4.335652173913044,5.410256410256411,,29.99,214,,,4.335652174,214,,,5.41025641,214,,,,214
,,,,,,,,,,,,,,,,,,
1070,0,1.2535039943892257,0.3831417624521073,,0,1070,,,1.253503994,1070,,,0.383141762,1070,,,,1070
,,,,,,,,,,,,,,,,,,
702,39.99,5.517695473251028,14.528735632183908,,39.99,702,,,5.517695473,702,,,14.53,702,,,,702
,,,,,,,,,,,,,,,,,,
545,24.99,9.250562640660165,16.53174603174603,,24.99,545,,,9.250562641,545,,,16.53174603,545,,,,545
,,,,,,,,,,,,,,,,,,
135,2.99,25.45098039215686,0.5291005291005291,,2.99,135,,,25.45098039,135,,,0.529100529,135,,,,135
,,,,,,,,,,,,,,,,,,
117,39.99,4.969459347915807,4.590038314176245,,39.99,117,,,4.969459348,117,,,4.590038314,117,,,,117
,,,,,,,,,,,,,,,,,,
1521,0,1.6796338672768878,0.7777777777777778,,0,1521,,,1.679633867,1521,,,0.777777778,1521,,,,1521
,,,,,,,,,,,,,,,,,,
112,14.99,2.950261780104712,0.7164750957854407,,14.99,112,,,2.95026178,112,,,0.716475096,112,,,,112
,,,,,,,,,,,,,,,,,,
1929,49.99,4.455976863753214,5.697318007662835,,49.99,1929,,,4.455976864,1929,,,5.697318008,1929,,,,1929
,,,,,,,,,,,,,,,,,,
