Name,Peak CCU,Price (USD),Review Ratio,Web Exposure
,,,,
VALKYRIE CONNECT,274,0,3.129166666666667,0.8849557522123894
,,,,
F.I.S.T.: Forged In Shadow Torch,124,29.99,7.587719298245614,1.0466666666666666
,,,,
"Warhammer 40,000: Battlesector",138,39.99,8.448497854077253,-1
,,,,
Trainz Railroad Simulator 2019,268,39.99,3.0914285714285716,2.3333333333333335
,,,,
DK Online,406,0,0.8211143695014663,0.5357142857142857
,,,,
Reverse Collapse: Code Name Bakery,484,24.99,2.3964620187304893,0.41379310344827586
,,,,
Risen,179,14.99,8.062248995983936,30.08823529411765
,,,,
Star Trek Timelines,161,0,1.8681318681318682,0.49504950495049505
,,,,
The Invincible,133,20.09,8.630890052,25.564102564102566
,,,,
Half-Life,1092,9.99,28.25679127002554,17.570048309178745
,,,,
Totally Accurate Battle Simulator,1379,19.99,45.66157372039725,14.095238095238095
,,,,
DashPanel,109,0,4.627659574468085,8.333333333333334
,,,,
WARRIORS OROCHI 3 Ultimate Definitive Edition,309,27.99,7.781395349,0.8181818181818182
,,,,
Hyper Light Drifter,152,7.99,14.304666056724612,14.39463601532567
,,,,
Century: Age of Ashes,137,0,2.957501760976755,3.9272030651340994
,,,,
Spiritfarer®: Farewell Edition,692,29.99,21.45731343283582,-1
,,,,
STAR WARS Jedi: Survivor™,4852,31.49,1.9870894133189214,3.9386973180076628
,,,,
Shin Megami Tensei III Nocturne HD Remaster,167,49.99,7.261682242990654,0.3831417624521073
,,,,
Robocraft,194,0,2.6948783371709504,2
,,,,
Planetary Annihilation: TITANS,314,29.99,5.570247933884297,2.380952380952381
,,,,
Quake Champions,464,0,2.775699054516194,17.57894736842105
,,,,
Kingdom Rush Vengeance - Tower Defense,404,19.99,18.64864864864865,0.41379310344827586
,,,,
Forspoken,119,27.99,1.5836508486317977,2.049808429118774
,,,,
DmC: Devil May Cry,106,7.49,13.657066666666667,60.79668049792531
,,,,
Pro Cycling Manager 2023,1345,39.99,3.2903225806451615,4.636015325670498
,,,,
HD Poker: Texas Hold'em,197,0,4.215950920245398,0.5208333333333334
,,,,
Mareld,170,6.29,11.75,1.5625
,,,,
Placid Plastic Duck Simulator,153,1.99,53.40963855421687,9.272727272727273
,,,,
Overcooked! All You Can Eat,694,15.99,2.7114035087719297,1.9118773946360152
